Species,Code,Lure,Country,Site,Lat,Long,Elevation (m) (google earth),Trapping dates,Habitat,Collectors,#
Bactrocera dorsalis,FF349,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4728,120.6358,626,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,13
Bactrocera dorsalis,FF359,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4746,120.6826,1046,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,13
Bactrocera dorsalis,,ME,Taiwan,"Miaoli Co.: Shanyi, Mt. Pillow",,,,13-ix-2015,,,13
Zeugodacus synnephys,FF358,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4834,120.6857,940,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,13
Bactrocera dorsalis,FF356,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4724,120.6654,808,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,14
Zeugodacus tau,FF358,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4834,120.6857,940,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,14
Bactrocera dorsalis,FF257 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7253,120.7961,852,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,15
Bactrocera dorsalis,FF264 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9247,120.8855,729,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,17
Bactrocera dorsalis,FF271,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9305,120.8912,792,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,17
Zeugodacus cucurbitae,FF306,CL,Taiwan,Taitung Co. Lanyu Island,22.0093,121.5720,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,18
Bactrocera dorsalis,FF272,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9328,120.8929,786,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,19
Bactrocera dorsalis,FF287,ME,Taiwan,Pingtung Co. Kenting National Park,21.9558,120.7337,58,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,19
Bactrocera dorsalis,,ME,Taiwan,"Taipei City, Shipai",25.1145,121.5155,12,21-ix-2015,,,19
Bactrocera dorsalis,FF266 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9283,120.8885,742,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,20
Bactrocera dorsalis,FF284,ME,Taiwan,Pingtung Co. Kenting National Park,21.9822,120.7338,71,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,20
Bactrocera dorsalis,FF312,ME,Taiwan,Taitung Co. Lanyu Island,22.0367,121.5585,315,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,20
Bactrocera dorsalis,FF315,ME,Taiwan,Taitung Co. Lanyu Island,22.0338,121.5652,170,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,20
Bactrocera dorsalis,FF291,ME,Taiwan,Pingtung Co. Kenting National Park,21.9190,120.8362,26,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,22
Bactrocera dorsalis,FF319,ME,Taiwan,Taitung Co. Lanyu Island,22.0729,121.5103,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,22
Bactrocera dorsalis,,ME,Taiwan,"Changhua County: Yanlin, Dayeh University",24.0000,120.5960,120,8-xi-2015,,,22
Bactrocera dorsalis,FF352,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4760,120.6428,586,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,23
Zeugodacus synnephys,FF338,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4665,120.6916,1284,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,23
Bactrocera dorsalis,FF282,ME,Taiwan,Nantou Co. Jiji Township,23.8307,120.7605,238,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,24
Bactrocera dorsalis,FF313,ME,Taiwan,Taitung Co. Lanyu Island,22.0372,121.5580,318,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,24
